,frame,pos_x,pos_y,id
829,277.0,946,180,Burrow 1
830,277.0,294,356,Burrow 2
831,278.0,370,421,A
832,278.0,946,180,Burrow 1
833,278.0,294,356,Burrow 2
834,279.0,370,422,A
835,279.0,946,180,Burrow 1
836,279.0,294,356,Burrow 2
837,280.0,370,422,A
838,280.0,946,180,Burrow 1
839,280.0,294,356,Burrow 2
840,281.0,370,422,A
841,281.0,946,180,Burrow 1
842,281.0,294,356,Burrow 2
843,282.0,370,422,A
844,282.0,946,180,Burrow 1
845,282.0,294,356,Burrow 2
846,283.0,370,422,A
847,283.0,946,180,Burrow 1
848,283.0,294,356,Burrow 2
849,284.0,370,422,A
850,284.0,946,180,Burrow 1
851,284.0,294,356,Burrow 2
852,285.0,370,422,A
853,285.0,946,180,Burrow 1
854,285.0,294,356,Burrow 2
855,286.0,370,422,A
856,286.0,946,180,Burrow 1
857,286.0,294,356,Burrow 2
858,287.0,370,422,A
859,287.0,946,180,Burrow 1
860,287.0,294,356,Burrow 2
861,288.0,370,422,A
862,288.0,946,180,Burrow 1
863,288.0,294,356,Burrow 2
864,289.0,370,422,A
865,289.0,946,180,Burrow 1
866,289.0,294,356,Burrow 2
867,290.0,370,422,A
868,290.0,946,180,Burrow 1
869,290.0,294,356,Burrow 2
870,291.0,369,422,A
871,291.0,946,180,Burrow 1
872,291.0,294,356,Burrow 2
873,292.0,370,422,A
874,292.0,946,180,Burrow 1
875,292.0,294,356,Burrow 2
876,293.0,369,422,A
877,293.0,946,180,Burrow 1
878,293.0,294,356,Burrow 2
879,294.0,369,422,A
880,294.0,946,180,Burrow 1
881,294.0,294,356,Burrow 2
882,295.0,369,422,A
883,295.0,946,180,Burrow 1
884,295.0,294,356,Burrow 2
885,296.0,369,422,A
886,296.0,946,180,Burrow 1
887,296.0,294,356,Burrow 2
888,297.0,369,422,A
889,297.0,946,180,Burrow 1
890,297.0,294,356,Burrow 2
891,298.0,369,422,A
892,298.0,946,180,Burrow 1
893,298.0,294,356,Burrow 2
894,299.0,369,422,A
895,299.0,946,180,Burrow 1
896,299.0,294,356,Burrow 2
897,300.0,369,422,A
898,300.0,946,180,Burrow 1
899,300.0,294,356,Burrow 2
900,301.0,369,422,A
901,301.0,946,180,Burrow 1
902,301.0,294,356,Burrow 2
903,302.0,369,422,A
904,302.0,946,180,Burrow 1
905,302.0,294,356,Burrow 2
906,303.0,369,422,A
